,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
53089,Down and Out,Touchbear,13.0,434819.6,326889.5,ERANGEL,2U4GBNA0YmnpwmFy1DQN7bYEjyPGn4_pJf6yRECBY73h5kNQeT36eAUO-xHUMGKy,472,gyzyy,22.0,432326.1,322341.8
42514,SCAR-L,MMXchen,11.0,265333.6,494277.2,MIRAMAR,2U4GBNA0YmmqUGx20QJm7lssZYIdf8DhPQ56FmyJDQx19TZF2Iev5Uah7PtWwyHI,1037,les1997,20.0,272233.7,495223.4
554,Bluezone,,,,,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,801,Oldboy26,19.0,444673.7,415427.4
14873,M16A4,PROTOTYPE666,21.0,198575.0,285890.8,ERANGEL,2U4GBNA0YmmTnSDr155_xCZqe6KBDoDHuucFqg0Xu_D60NJ8zdVXAgXqI5_gDy0S,265,DiuSumm_,20.0,201356.4,285575.8
42734,AKM,lirenwangba,19.0,375967.9,433805.9,MIRAMAR,2U4GBNA0YmlOSsqkxpl2bZMLxLE9YSSoRvCglEtPGNBtdAs2Yc_RMjjEtQet4Ef8,335,Fee94,17.0,376151.9,433968.9
41435,UMP9,jianxig,47.0,421543.7,324352.3,ERANGEL,2U4GBNA0Ymlzuoyul-uVOoCfd0qfUBA3igIaTt6_IxNjuC5A-nkje6T3AQOxaDUL,91,pangpangqwerone0,43.0,423229.6,324562.8
54435,Down and Out,231124,17.0,613322.4,597487.1,ERANGEL,2U4GBNA0Ymnh6kxyJ8TIXSqOfnJUwbHup234D6RsFlYdOI-nGYZ1hyFwiTSOgf_P,208,dzh1988,23.0,614521.1,597121.3
51863,Bluezone,,,,,MIRAMAR,2U4GBNA0YmlIKSh2_M1TT1Q4YXWw9lxua1AgG1MQTTpNyUkKxAVxO5NGPBWYToWY,1332,longge942817212,28.0,0.0,0.0
54866,M16A4,OZFRICHARD,3.0,590191.3,290266.9,ERANGEL,2U4GBNA0YmmHABZyM8xrwvptXIDZKtnhcHZZWtQUIl95_nfcqxcJZ2-G6G_e1Snc,965,jack-the-reaper,14.0,588309.0,289215.7
32859,SCAR-L,siyu-y,36.0,367843.0,404192.9,ERANGEL,2U4GBNA0YmmU6jZcuLSf0AJofpCj_AJvzQkEtGtqVm3AHB4GrmWCxU96vbX-YNE1,601,FSTRENGTH,43.0,368537.2,404478.6
