,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
5244,Down and Out,Zhang-Ze-Sen,1.0,622894.2,411454.2,ERANGEL,2U4GBNA0Yml20grMM4GD62e8xWDcMhw91ITl2fbDm2AIPx37-WAHyGXsHqsEJgmU,1568.0,MercyShen,4.0,621403.3,412107.3
1021,SKS,uselessly,1.0,367473.1,584552.2,ERANGEL,2U4GBNA0Ymkoxr2BYKn-rNaRztbwuI_vg9q1ls65L42rey10uL1Qw2gSP72IZPMk,1017.0,Lz_18cm,9.0,379108.2,579478.3
335,M416,Kingrens2,8.0,197959.6,568978.6,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1413.0,RyeguyTheDeacon,9.0,191177.3,575396.9
1558,Down and Out,tzlli,1.0,150362.0,571065.0,ERANGEL,2U4GBNA0YmloUGIumcTO14gr8rgZVexJO_xpcOj0xMlmhrLlJjOYL4g75Nlf53Hw,1207.0,Ron905,17.0,149080.2,570702.9
853,Down and Out,SlashTheSoviet,7.0,612069.1,427996.5,ERANGEL,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,1538.0,GeminiZZZ,11.0,616348.4,432039.2
3458,Tommy Gun,lookyoung2014,13.0,555315.8,231667.8,ERANGEL,2U4GBNA0YmkpfMEoYocYZGCkLIZxf_dSclL_3Uka55GkexzQT_BfyFFNs0d766rH,158.0,Saco_Tsz,10.0,555328.8,232133.9
1050,Groza,DoVe_Uchiha,5.0,468085.9,644694.7,ERANGEL,2U4GBNA0Ymkoxr2BYKn-rNaRztbwuI_vg9q1ls65L42rey10uL1Qw2gSP72IZPMk,1228.0,Mexico_mmp,11.0,469355.3,644396.0
1048,M416,CleraAwei,15.0,554587.0,241442.5,ERANGEL,2U4GBNA0Ymkoxr2BYKn-rNaRztbwuI_vg9q1ls65L42rey10uL1Qw2gSP72IZPMk,630.0,liukonglin119,18.0,555668.8,242674.1
6765,M16A4,MirrorMaze,2.0,668874.3,164571.6,ERANGEL,2U4GBNA0YmkO4k9nFC5ZMd_WV4qDWvnz6FLVFJ_qoN5ss38_nDM_HWzEWa3-Hkvg,957.0,SemiProGamer0_0,17.0,670100.6,159624.7
343,M16A4,TANkISTSEREGA111,5.0,202380.2,289282.7,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,130.0,weigelailongni,27.0,203087.9,286482.2
5859,Kar98k,HUCJ-110,3.0,631725.8,198311.0,ERANGEL,2U4GBNA0Ymn4I819TCOZUmrkpodZU34WCjWNhi7ynOl4mSWUtxFC8Gi1FEtUufT-,1428.0,jiefangnidepi,9.0,638455.7,202493.5
4939,Mini 14,tgfssss,19.0,145808.9,310242.4,ERANGEL,2U4GBNA0YmkouKU7rw6brk7uZamG1dICaLOLV9MMRULojV9v1Y0ApEjG8568AzL-,405.0,Wz-Jerry,22.0,144983.5,291812.3
1442,SCAR-L,Pn_King,1.0,122676.3,404156.1,ERANGEL,2U4GBNA0YmltdlEYw5AmXmDdUW5i2vyhBrlQeNFBgmYyzDpsc787A_hENiNlx6I5,1427.0,JXJWFHN,2.0,167343.0,379584.3
2358,Down and Out,twiztid_smkr,30.0,202771.0,288390.0,ERANGEL,2U4GBNA0YmlJIox1N8PDEThbIPyVEba0Ywk6cuKmN66lbkfGJorIBmPhthkJwbX0,151.0,vivi-chan,45.0,202133.1,288194.0
