,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
2678282,M16A4,buay9,1.0,504231.5,273405.0,ERANGEL,2U4GBNA0Yml9nj7PG8i-yTwnaCvi0UGCxMoqeknKJ5HvsGNELXxK19k7z26U6mRA,1876,lllqq77,2.0,509960.2,270802.8,True,1
11443054,AKM,Chicken_thieves,1.0,518903.8,562222.4,MIRAMAR,2U4GBNA0YmnbI8IHI-BuwsunYJn9rMjPt9l3IjVIEmfkt4eToLpjnUtBBlP4UO_k,1817,garamel,2.0,519052.6,561568.9,True,1
13074819,Bluezone,,,,,ERANGEL,2U4GBNA0YmnBfFk1XgJeF-f0jhPOIq3AKEJfh1UTFqXlfDugSi38jACZsLgXWEpy,1664,DyK_GK5,2.0,328868.2,379070.2,True,1
4687044,Kar98k,hpziyou,4.0,693806.1,512070.9,ERANGEL,2U4GBNA0YmmQLComFLOcbntPf0A2ee0SngfZRphDJUojQfWMO6NRkQcWhzNCQEiM,1345,Killo69,2.0,685980.3,514161.3,True,1
7342001,Kar98k,Cuntdropper,5.0,154749.9,262858.0,ERANGEL,2U4GBNA0YmnYmUVqS8pW52qlO1nbrKoMQB_rug1FaK-jeA5ChOtpCz80hwi6dLUv,1331,nTurn,2.0,158609.7,250258.1,True,1
1298757,M416,wcaonimagebi,8.0,359531.8,577855.6,ERANGEL,2U4GBNA0YmlSJsU-9c2PIbPO5yQwGZK4qXR6rO0hjP-pcnHCwYJYtB0htZZf0-Yb,1402,miwuyi,2.0,362542.1,579257.8,True,1
12927695,Punch,hookdeath,12.0,274096.8,260520.3,ERANGEL,2U4GBNA0YmnTMir8R6tIB8p2_OnOEIyF6ZVeKdKrBz8IvcPf06tLunYFa6b6CbEt,893,MetalObito,2.0,274099.4,260439.8,True,1
8011542,UMP9,PlesDontKillMe,1.0,181153.3,174492.8,ERANGEL,2U4GBNA0YmnuOrNoLzUZafhe8ZzPK-M9nl2PXdz1_Ev0_DltjT7uVuEgsatvU5FI,1902,kongjiaoshou,2.0,179512.8,175096.2,True,1
6100295,M16A4,Mystic112,18.0,370896.7,427974.2,MIRAMAR,2U4GBNA0YmmDrJi-CxikuT05_rIiQ9e2FI8MFGZ0FS5ahC-wMlkU2I1Pw3iVHhEP,307,Lampada_Depp,2.0,370828.0,428605.2,True,1
1225757,SCAR-L,TimJones,1.0,381291.3,631530.1,ERANGEL,2U4GBNA0YmmVU5VKXEqYfpEoxiAeclkROKVtpl-QKm2YivYlAmOOr4QF1JwcSJMY,1820,AndySavage,2.0,381597.3,631119.3,True,1
213601,Down and Out,DaYang0703,1.0,414661.3,382303.6,ERANGEL,2U4GBNA0YmmLuAQulhpMQAzb_psA4EPKryXlfTPw3y5uukVhUothGHqmPHlr-EAO,1928,youxi39,2.0,412782.5,388217.9,True,1
258383,Bluezone,jizhouhuanshang1,1.0,380407.9,339375.7,ERANGEL,2U4GBNA0YmkTpv8kgJanyMygYlszqgI8zDcahqsduPsJwFz8Iji9gMp20QWPKkK-,1740,ak47vs668,2.0,382446.8,315025.6,True,1
845416,M416,DustyFeather,1.0,617073.3,318655.8,ERANGEL,2U4GBNA0YmkXD5CLR0xRcVmh8Zl2S633l6nwBMFOJyyoraCecs5RGWZbooDmnRUE,1977,Supergirl-,2.0,618572.3,319130.1,True,1
11350363,M416,johnpei4,1.0,560162.1,447807.3,ERANGEL,2U4GBNA0YmmSJvaOBD9QEE5Umwg5orXf-IFExb914OJRkBhBuxm2bRZPljK_Xgxp,1909,ROXi82,2.0,562023.1,444066.6,True,1
8034867,M16A4,Aizidg,40.0,161160.6,290964.7,ERANGEL,2U4GBNA0YmmKUYqd9AJgIktnabCLzVuw1D7HC6ZTKmM3hWOWenJ2bXaVuE0Cn1Xb,126,Redrous,2.0,161269.1,290687.7,True,1
9343530,M416,jac0_,1.0,476655.9,148127.7,ERANGEL,2U4GBNA0YmmODwxEbwQ-PXWTnBdDcW6hfUZZ2g5buKeb2ipdBegiawLftyp3KPeP,1764,Solar_Sailor,2.0,471393.6,140516.8,True,1
418926,M416,Melnik773,1.0,246401.5,406441.6,ERANGEL,2U4GBNA0YmlPUA4v0L9QDB31DCim3oqU4boP_onwNGqXUQqszyPdB-FlQoEn_9oD,1984,EriccLuo,2.0,246392.9,407803.2,True,1
7328038,M16A4,BiuBiu_Emotion,15.0,391613.0,130314.1,ERANGEL,2U4GBNA0Ymkeis0xqOwiYkqop1tIn94WPZqjL7JgEvNBA1QBaU8CAguTYFzBql2K,710,ArcherG1lgamesh,2.0,391547.6,130571.7,True,1
43857,SCAR-L,XXOOBA,1.0,222402.5,568173.3,ERANGEL,2U4GBNA0YmnC3ivsvuSOfdrVc6b595xJhrCArxcMRN5oUyZKu_-Fa1hJwkPJDz64,1777,SORRY007,2.0,216979.4,567538.8,True,1
8994745,Down and Out,Y__73133038,1.0,687968.9,429155.8,ERANGEL,2U4GBNA0Ymk7I4yem-gWp9oqtxPgjaITSbeGeK7aa3vBu0MjljD6MQ7kVJYghe7d,1768,TAnmmF-,2.0,701107.8,417603.8,True,1
1532356,Down and Out,dnx_xing,1.0,150760.2,595176.0,ERANGEL,2U4GBNA0YmmWftQt7dQYZ5iVG_gHSeCfWjPsewVfIFrmwBkyJN86aciE7EDM-cNN,1914,TrongLam,2.0,154113.4,594571.3,True,1
7078631,S1897,penisman69reborn,28.0,384395.3,117084.9,ERANGEL,2U4GBNA0YmkCwB-SMnnQLo2CwZ0swOwr1QEyATiucC_7ZwrlNoFwCiWeY5ma2pjB,585,certe,2.0,383875.3,116880.3,True,1
8097092,Down and Out,Jeff_One,1.0,662022.3,386310.8,ERANGEL,2U4GBNA0Ymnv4S28YIWpeflrx1EGEaD91uGm8o4msLGa6hHJOEKP3x0UxRwl-LNO,1886,adomick,2.0,661797.6,394783.9,True,1
12117016,SCAR-L,DYliyunlong,1.0,414919.5,427452.8,ERANGEL,2U4GBNA0YmmDksD77gJSHl_nulzlAwyAx9d6UWspngbwVWpS76aMtZjOi-1vF9ZE,1890,knowMEE,2.0,414116.6,427734.7,True,1
5454066,Mini 14,Megadink,1.0,346217.7,170907.1,ERANGEL,2U4GBNA0YmnmSNiRE2usQ8b-6Zl6Pktwbk8ZPogeO0f2WQ8sGo_CIIbjFd-XLnse,1941,Entitylol,2.0,341294.3,173484.8,True,1
5493111,M16A4,dannykobe,1.0,470286.2,619047.8,ERANGEL,2U4GBNA0YmlOD-UjJfIzjeEbXQ2hbROwEdspVXODxnsSZv6_ECGbcktnZudcfFvc,1874,Kasket007,2.0,472770.3,624657.7,True,1
9208681,M416,toxicvipers115,13.0,462946.2,447890.8,ERANGEL,2U4GBNA0YmmMBhmZAwzYddU2CZJgRHSql0OaI3z3Tkyn7rHUmHmFKdT5CeB0fZAW,662,Lomonade,2.0,462602.3,448316.2,True,1
8813038,S686,YOLOSWAG9001,21.0,389290.5,139026.2,ERANGEL,2U4GBNA0YmntSpizU7eIv_a1icNvEXxoEd3o1iz9rsdu3iQbMRje5PeUSAKPLPCj,446,S_MG-Joker,2.0,388570.7,139352.4,True,1
11509080,Down and Out,MrOldWong,4.0,546060.1,418716.6,ERANGEL,2U4GBNA0Ymkup5emzTsq8WPuD3DJN5ncIeFPu77qW_Y1AnFTa8az5MXL6SFs4VqF,1790,Smailcat,2.0,543150.6,416807.3,True,1
5554070,S1897,Johnny-Dx,6.0,620728.1,296144.8,ERANGEL,2U4GBNA0Ymmz9vWEoOg-d82I-f4ECAwid6d804feSzbi00Ulp2jH9_olB6YCOzL-,182,titan_shot,2.0,620190.4,295973.1,True,1
10381163,Mini 14,Xiituz,1.0,597650.1,379209.9,ERANGEL,2U4GBNA0YmmKDyln-H6Cl7jjzc2HRY7GxNES1rb1cVlN81LzEdwXRQ7aVFWyEFLw,1688,Dios,2.0,610059.0,385807.1,True,1
450687,Down and Out,twitch_BananaAFK,4.0,365913.2,371426.4,MIRAMAR,2U4GBNA0Ymmu_XurhTH563-gMDN3fHql5rgJW3w80ZZ9vyhtzbH34dEA5p0wb5AD,1737,BlackSheepzy,2.0,377471.4,376410.5,True,1
8739901,M16A4,WealthOfNations,40.0,622646.1,379173.5,ERANGEL,2U4GBNA0YmmBSDOMIFtENFkFWl40Kbr_hysCA0CNSDlVBBIh22HdZQSZcg6nVwv5,94,Babaah,2.0,622721.3,378931.1,True,1
4155689,Down and Out,CTG-98k,3.0,339007.0,617125.9,MIRAMAR,2U4GBNA0YmnVyMJLccWjf2L_MT_uWFElfb3TIEji0YKQQjz3RYxXDpQSdhwn9H0F,1576,QQQQQfs,2.0,355996.1,614177.1,True,1
1526359,Down and Out,,,,,MIRAMAR,2U4GBNA0YmmrdNR2LgQ_o4qZ-ssRSkmgxCgszgltam1gVexVbgrAQkch2UQCNp48,1537,GGchen99,2.0,501170.1,416028.0,True,1
2701082,Down and Out,DASHUAI0,1.0,233065.5,453266.4,ERANGEL,2U4GBNA0YmlSVclOVMXdBUUukoylYs2O4wgbNcgMWwFg9pNyyzxMzGryrw34pxXt,1881,fucknidelaomu,2.0,236360.5,457421.2,True,1
12505946,AKM,xTejj,1.0,154150.6,294137.6,ERANGEL,2U4GBNA0Ymlm2ss9xixpnD65V-SojoJ1Ui6Wi9vqw4qQb7flBOR5c5ETSkJwqYxa,1945,ModulationMatt,2.0,155591.5,290110.5,True,1
12764381,Down and Out,SCCCWG,11.0,549139.3,228052.9,ERANGEL,2U4GBNA0Ymlyu-hbD4UZM8SdpLFpdPMYWUMK6QbHGGyvCBhQhe-UtZmicr_vf7Rd,361,ISxuxuxu,2.0,540563.9,230335.2,True,1
10435926,M249,D4SH,1.0,441912.9,524286.5,MIRAMAR,2U4GBNA0YmmgSdpEoT9T_QD-6VXjPt_YBhADz1CH41ksH53izn3OzoRocpqDNhey,1880,Ambientsound,2.0,437486.0,531125.6,True,1
4792296,M16A4,jiang_die,19.0,360752.5,424452.4,ERANGEL,2U4GBNA0YmmzJLN8bXVhS7udPlPHPpD96GxZ4JKPEGzujQjVNyLk21C_ChdjVZim,672,KV_152,2.0,360872.2,423754.5,True,1
7473901,M416,AILIAILIAILI,1.0,491230.9,118787.7,MIRAMAR,2U4GBNA0YmllMOBnumuRQxBOpowTs777ho0H_vLXgAg9b7I64d9N59mt7mFrBymi,1882,ohhh_eh,2.0,493876.7,123962.8,True,1
