,Unnamed: 0,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
2354,2668,Kar98k,Revosun045,3.0,550889.2,363251.9,ERANGEL,2U4GBNA0Ymn4K68JYbLzcXh5S2aPoQe1oJzDsd_lyNUfRddt9kkCPLgme76kr_A9,1671.0,Winstim,2.0,551037.2,336585.0,True,1
2371,3568,Down and Out,Hollipeter,3.0,342033.6,161135.6,ERANGEL,2U4GBNA0Ymn_5YOdbJcWM3qIjn0S_Z3W84sUWo36iLxk6As1P0O7BB5It8tPY8Ss,1745.0,Plixforge,2.0,342342.8,153112.1,True,1
2386,764,Mini 14,BlindUberDriver,1.0,239802.4,449472.9,ERANGEL,2U4GBNA0YmmEUK5MTLyr6AfVvoPX1txbeD-jND4VXYtMmoXuatMBzW67F6i6TzwI,1969.0,Raulyan,2.0,238729.5,450133.9,True,1
2390,5832,SCAR-L,zZz7788,1.0,616561.1,258356.7,ERANGEL,2U4GBNA0Ymn4I819TCOZUmrkpodZU34WCjWNhi7ynOl4mSWUtxFC8Gi1FEtUufT-,1355.0,Liqi-,2.0,596583.4,250024.9,True,1
2457,1442,SCAR-L,Pn_King,1.0,122676.3,404156.1,ERANGEL,2U4GBNA0YmltdlEYw5AmXmDdUW5i2vyhBrlQeNFBgmYyzDpsc787A_hENiNlx6I5,1427.0,JXJWFHN,2.0,167343.0,379584.3,True,1
2542,5280,SCAR-L,Mister_Robot,11.0,654468.7,353781.6,ERANGEL,2U4GBNA0Yml20grMM4GD62e8xWDcMhw91ITl2fbDm2AIPx37-WAHyGXsHqsEJgmU,1224.0,Saltybones12,2.0,654973.1,353742.3,True,1
2567,6999,UMP9,Pluto-Lucifer,6.0,641806.9,241421.6,MIRAMAR,2U4GBNA0Ymk1Jt6GjNIWPblco_2J6IKXz_yq5seSwKYZDaeFd2S90A1rG-cBWFKe,436.0,Ezeros,2.0,642037.2,241325.3,True,1
2570,4327,Kar98k,PANYINGHONH,5.0,574249.4,384863.9,ERANGEL,2U4GBNA0Yml_5G8Drb2z19mFJ0XQ3w6WRVVg1eKkzSZTmta36z3rTTyDNxT3C_WU,1700.0,Arrogance-tong,2.0,574522.4,384778.1,True,1
2577,2747,Falling,Makers_Mike,1.0,420388.1,463541.9,ERANGEL,2U4GBNA0Ymk7iBtHUx6-_dZyjrvKVPMSmiZKzhovvtZ6clOi9vMdQGJIxPEv4HO6,1874.0,Seht_,2.0,426799.3,467134.3,True,1
2622,1260,M416,BecomeSupreme,1.0,155990.5,380597.6,ERANGEL,2U4GBNA0Ymlc7rVx0xWH7j4xfGd-zpHO2dN9AJ11-bFd9E-Jkmoa_BTnfqg_aOHQ,1970.0,aka_ghost9,2.0,155559.7,383385.0,True,1
2655,329,Bluezone,,,,,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1767.0,lXlFan,2.0,162292.2,513805.1,True,1
2770,38,Bluezone,IdiotWHJ,6.0,557525.2,304430.7,MIRAMAR,2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY,1518.0,FantasticBoys,2.0,551213.4,319105.2,True,1
2775,359,Down and Out,Illmy0111,1.0,174635.6,510872.2,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1640.0,fairyGIGI,2.0,166706.2,538946.3,True,1
2791,958,M416,rescue_9,1.0,729713.8,411470.3,ERANGEL,2U4GBNA0YmnXxPYMxq8uh3IZ_R74uPmFVfhHlxf6M3-PzRx-7ICrxPIahHemHE6H,1956.0,2913shijiebuhuai,2.0,731065.3,414360.8,True,1
2841,642,Down and Out,ConnorDaWhiteBoy,1.0,698468.9,254960.2,ERANGEL,2U4GBNA0YmnZDcOwRYKzxWhbr5Jaxxjhp0cRvsI40iOQJdZyGBJb_mcf0ZjzNRGD,1827.0,Tomwillbetom,2.0,682834.8,259266.8,True,1
2878,2976,M416,Kelvin-X,1.0,551177.6,75119.87,ERANGEL,2U4GBNA0YmmZQ2J9Yb52vKPLwbhBwawIljBpPRhTi_79yTam0v7xmhrScrvgk6Jz,1785.0,RunFreek,2.0,551888.8,74709.94,True,1
2902,2669,M249,YuFangood,1.0,546369.9,351309.8,ERANGEL,2U4GBNA0Ymn4K68JYbLzcXh5S2aPoQe1oJzDsd_lyNUfRddt9kkCPLgme76kr_A9,1864.0,websterbro56,2.0,555646.7,355464.3,True,1
2920,4267,Groza,kava11,20.0,538124.3,471427.1,ERANGEL,2U4GBNA0Ymllc_6Eh-c0jqGSW3HCKj_KixPEGv3zEg-XsZyUhbwtCWd6i-fPN7ag,1289.0,BBnoBB,2.0,538247.6,471646.1,True,1
2940,4735,M16A4,AresForGodofwar,23.0,399714.1,284391.4,ERANGEL,2U4GBNA0Ymm0xKIivZQMUCPNnY06OPootjDdM0RtAL61KsDLeIIm8bS2hbaOZfZd,265.0,CrowSalad,2.0,399492.7,284949.2,True,1
